alpha,eval/episode_length,eval/episode_length_std,eval/normalized_episode_reward,eval/normalized_episode_reward_std,loss/actor,loss/alpha,loss/critic1,loss/critic2,timestep
6.764033215830869e+31,1000.0,0.0,109.35055185258695,0.25736409404893984,-496.24366693115275,-1404.037382690429,-116.20761602783216,-116.29923897552489,734000
7.481311951570044e+31,1000.0,0.0,107.32612081249049,1.0538841857677401,-496.4045394897462,-1420.0334300537118,-117.25035575103742,-117.2849711151126,735000
8.270749082095315e+31,1000.0,0.0,107.5702150805271,0.2943869257460716,-496.5075224609365,-1407.1097987060566,-116.40332783508293,-116.46662122344972,736000
9.137859999729443e+31,1000.0,0.0,108.20929980820428,0.18257973077366177,-496.29187823486313,-1413.1610319824222,-116.7910490646362,-116.6735499572752,737000
1.0108935869509324e+32,1000.0,0.0,108.94716198254942,0.31617293418050874,-496.3824002685546,-1423.5986187744131,-117.13067247009252,-117.15214965820313,738000
1.1171316153892104e+32,919.9,240.3,100.49836699592234,28.327580910732035,-496.17566293334875,-1405.852398315428,-115.99819718933114,-115.92986277008055,739000
1.2331712579815901e+32,1000.0,0.0,107.32468594427118,0.38113849286884277,-496.27239874267565,-1392.4757055664056,-114.90609908294675,-115.12217465209953,740000
1.362417392111877e+32,1000.0,0.0,108.1474693471784,0.41503781271955886,-496.2472959289557,-1408.5402951660196,-115.79397050476095,-115.85451702117915,741000
1.5043846860956563e+32,1000.0,0.0,109.93239187826147,0.4323505238401756,-496.0829904174811,-1404.6219033203154,-115.54063565063475,-115.35341729736315,742000
1.6632170977916903e+32,1000.0,0.0,108.78962144445303,0.24893903711573737,-496.169509948731,-1414.619255981445,-115.85307542419457,-115.86592518615736,743000
1.8379832041125495e+32,1000.0,0.0,108.28544544115617,0.39372885710722866,-496.22686132812504,-1422.3347879638663,-116.42542370605469,-116.49424267578107,744000
2.0312191775557276e+32,1000.0,0.0,106.55524459992387,0.6019253418375323,-496.1379599609385,-1429.1377310791054,-116.64006811523453,-116.7404276504516,745000
2.2463259336132995e+32,1000.0,0.0,108.98996041736753,0.30033790242064734,-496.28770846557717,-1450.2896455078114,-117.7503617095947,-117.97600127410901,746000
2.4817097333847443e+32,1000.0,0.0,109.4729431946774,0.41562189363492713,-496.17283871459983,-1428.5462843017563,-116.21368302154524,-116.13251566314693,747000
2.738939421570107e+32,1000.0,0.0,107.08589457981688,0.24400006048634917,-496.35064605712927,-1408.0785469970717,-115.0055375823974,-114.97891249084486,748000
3.0223005812043666e+32,1000.0,0.0,109.31777451304285,0.5683990562396471,-496.2501220703129,-1390.350837158203,-113.3715520401002,-113.43241840362565,749000
3.338399918389008e+32,950.0,150.0,103.37615037456216,17.126572991762725,-496.3331666564935,-1408.9931345214848,-114.52869522857668,-114.58957307434089,750000
3.6904747881095944e+32,1000.0,0.0,109.13365646571822,0.6458269336310687,-496.23422061157294,-1433.2878934326156,-116.17369397735585,-116.20051220703132,751000
4.086005108616263e+32,1000.0,0.0,106.47786380218179,0.580254844213112,-496.31871337890607,-1465.8487145996098,-118.16690042877201,-118.17466229248055,752000
4.520134610771356e+32,1000.0,0.0,107.92645336465742,0.23281602895007208,-496.27531152343744,-1453.1795983886725,-117.26936515808097,-117.37590088653543,753000
4.994385022309938e+32,1000.0,0.0,107.76293528601259,0.19366652284617358,-496.39907919311474,-1448.996454711914,-116.6479170150758,-116.85747473907482,754000
5.5179104765434796e+32,1000.0,0.0,109.4737457469953,0.2556336099869703,-496.23050756835886,-1448.5719305419914,-116.6462022323608,-116.64714417266839,755000
6.0955566742768106e+32,1000.0,0.0,108.86121700390974,0.5881628360336588,-496.1006112060544,-1443.2505062255877,-116.22494478607197,-116.1786947631835,756000
6.733359967431473e+32,1000.0,0.0,107.96634588947607,0.3066216654655027,-496.1970917968752,-1445.7885372314456,-116.42430612182615,-116.37169194030746,757000
7.439963442911905e+32,1000.0,0.0,109.40640766761935,0.1768122514380973,-496.48571813964804,-1453.3340865478553,-116.6144840393067,-116.8145605163575,758000
8.217017803622979e+32,1000.0,0.0,109.45604386356787,0.5057362158942522,-496.3535873413087,-1447.651874145506,-116.33067888641352,-116.31180610656739,759000
9.083826626169025e+32,1000.0,0.0,108.78078571815801,0.17771687436919517,-496.28208489990226,-1476.0889605712878,-117.93151573944098,-118.15056300353996,760000
1.0038855763181538e+33,1000.0,0.0,108.48997103437475,0.1730535874367912,-496.17447378540083,-1467.5181214599609,-116.96966336059575,-116.97241936874374,761000
1.1092645965383746e+33,1000.0,0.0,107.98464964380965,1.590749058418051,-496.11533493042003,-1473.6415241699221,-117.36195987701397,-117.48819488525396,762000
1.2255838240394082e+33,1000.0,0.0,107.27202488899682,0.2672477744974212,-495.9987546997067,-1466.4862001953106,-116.58524182128912,-116.71457487487821,763000
1.3538277817798934e+33,1000.0,0.0,107.46176434536663,0.32468084178990375,-496.095281799317,-1473.2095539550812,-117.18160037994404,-117.11488012695332,764000
1.4959047169600796e+33,1000.0,0.0,107.9775633686852,0.1698170175192902,-495.84583712768574,-1457.24356018066,-115.8574422225952,-115.9560408477783,765000
1.6531836180291686e+33,1000.0,0.0,109.53646846570335,0.18089096885938868,-495.79227575683643,-1479.0944456787104,-117.39541387939425,-117.44840449523936,766000
1.828237313875699e+33,1000.0,0.0,108.03372014410914,0.3521851222678405,-495.643966003418,-1480.3636741943365,-116.84423056793219,-116.95315572357174,767000
2.0196564298814497e+33,1000.0,0.0,108.94516005397566,0.42531697332021207,-495.78014254760814,-1476.3105166015632,-116.54911203765863,-116.88747557830817,768000
2.2318972199673596e+33,1000.0,0.0,107.95217295993598,0.2999520117898703,-495.7899042358392,-1481.8570115966772,-116.9565198516846,-117.1533097305296,769000
2.4656534101024397e+33,1000.0,0.0,107.36893853467339,0.1777801166345886,-495.54579360961833,-1478.183940307619,-116.77635671234145,-116.69659964752188,770000
2.7254276868626107e+33,1000.0,0.0,107.27109827043905,0.22686673716658723,-495.62916848754855,-1484.705697265621,-116.9939832153321,-117.15748809051496,771000
3.010982935522245e+33,1000.0,0.0,109.71532090026832,0.12343640860114623,-495.6016914367679,-1469.5426806640626,-115.99601251983657,-116.10268201446526,772000
3.325929679232692e+33,1000.0,0.0,106.32345285882765,0.2802881437064361,-495.35998764038027,-1466.5533725585922,-115.8028037338254,-115.75166278839112,773000
3.6758738296529805e+33,923.2,230.4,101.74526724911705,27.294427557293304,-495.35418002319295,-1493.4485242919952,-117.24412221527106,-117.32910810089106,774000
4.0610616539089293e+33,1000.0,0.0,108.71935320443814,0.2686027254086302,-495.36929525756875,-1481.035563842775,-115.99273697280886,-116.08914893722542,775000
4.484875704315641e+33,1000.0,0.0,108.8911876232234,0.5124092253674609,-495.3540463562008,-1463.140459716797,-114.80656845092767,-114.97648223876945,776000
4.9542264339002304e+33,1000.0,0.0,108.27721615285624,0.31771742083849697,-495.5522311706549,-1474.1838038330081,-115.33188359832774,-115.33666059875483,777000
5.474031090289504e+33,1000.0,0.0,108.78333823227577,0.32386533457168853,-495.50632684326064,-1479.2410272216798,-115.8267971801761,-115.49841497802757,778000
6.049067843498609e+33,1000.0,0.0,107.84824774091241,0.40748902280514937,-495.387394805908,-1466.0524814453138,-114.78421709442142,-114.90907898712138,779000
6.68772006061177e+33,1000.0,0.0,107.65298639608105,0.28449780056576274,-495.4843554992676,-1496.154891723636,-116.21890604400632,-116.64904023742669,780000
7.398295616653703e+33,1000.0,0.0,108.29086435811848,0.31137098462998686,-495.52878762817403,-1515.6168931884772,-117.54862796020511,-117.4175342330931,781000
8.17798873166691e+33,1000.0,0.0,110.31530642746932,0.21819592460953505,-495.22764938354504,-1513.786952392577,-117.51353552246091,-117.42131501007083,782000
9.035378234802237e+33,1000.0,0.0,105.99366967320378,0.3932499333601529,-495.4006317138669,-1502.526624267575,-116.52063390350341,-116.66846222686783,783000
9.981313128030692e+33,1000.0,0.0,108.03595757362254,0.30373909273142385,-495.4572031860361,-1511.3403708496073,-117.03707706451418,-117.08589773559555,784000
1.1029487903302547e+34,1000.0,0.0,108.02977717167579,0.3360312048358997,-495.29709469604603,-1512.0756424560554,-117.01393722534208,-116.97072628784194,785000
1.218719188643184e+34,1000.0,0.0,109.3527802784052,0.37316985923121626,-495.47567636108477,-1504.0750449218733,-116.31197544097907,-116.26160594940183,786000
1.3468885553433845e+34,1000.0,0.0,108.19678375628152,0.2847032814070127,-495.41361260986315,-1524.577899169921,-117.22394798278827,-117.33636848449721,787000
1.488131663940187e+34,1000.0,0.0,109.84848306822946,0.11173380508352479,-495.4765552673339,-1520.8256691894562,-117.11512565994269,-117.27855009078989,788000
1.6440844484817014e+34,1000.0,0.0,105.06338519977116,0.43455732168804984,-495.3688565673821,-1513.0674309082028,-116.4995367126464,-116.58103692626948,789000
1.816432053237072e+34,1000.0,0.0,108.39512390123325,0.827572948498009,-495.189151184082,-1493.910268554688,-115.09805546569804,-115.37015509033206,790000
2.0052941027044e+34,1000.0,0.0,108.20342709467371,0.3985644803067399,-495.1428039855957,-1495.5470133056665,-115.02389830780038,-115.00257637786876,791000
2.216895227539008e+34,1000.0,0.0,107.99304713580662,0.7228355103698647,-495.2125092468261,-1497.3952453613315,-115.1665562286378,-115.07185302734385,792000
2.449413535539446e+34,1000.0,0.0,106.63028938794045,0.3616996538188676,-495.2641318359371,-1518.473703369142,-116.44980458831799,-116.57805704116838,793000
2.707966063494754e+34,1000.0,0.0,108.81521529369505,0.4144932114962056,-495.3660503845207,-1510.8698957519523,-115.77989479064952,-115.69605825042743,794000
2.99336726651686e+34,1000.0,0.0,108.01704948411943,0.4950657341278821,-495.39063131713885,-1523.0142189941382,-116.37780997467065,-116.44346385955822,795000
3.308382260708937e+34,1000.0,0.0,109.60284330121772,0.35777830763108104,-495.31598062133787,-1512.91651416016,-115.80556225585957,-115.91032563781752,796000
3.6548607661741983e+34,1000.0,0.0,108.78096133668032,0.32954579728512684,-495.16698654174763,-1513.5411451415994,-115.74072234344482,-115.85606736755375,797000
4.0371681402814737e+34,1000.0,0.0,109.47978111118479,0.3164659846779755,-495.13004086303727,-1513.3437833251944,-115.5592744369508,-115.62747868347168,798000
4.463112898050105e+34,1000.0,0.0,108.07878692575696,0.5876637683020285,-495.17920266723655,-1544.1459451904361,-117.23826923370378,-117.27575646209738,799000
4.933559749758253e+34,1000.0,0.0,109.30649037418834,0.5256645685928173,-495.1946979675289,-1561.1735700683616,-118.2868773956299,-118.24225409698472,800000
5.449583160511295e+34,1000.0,0.0,107.99482912766352,0.5719795754896214,-495.06606860351536,-1527.9396662597633,-115.99865356445316,-115.98841560363779,801000
6.023046610772697e+34,1000.0,0.0,109.49118693510138,0.32097869748421315,-495.086349151611,-1565.4064677734377,-118.28960316467288,-118.24146416473391,802000
6.659413277498284e+34,1000.0,0.0,107.55709189738474,0.3013295456438095,-495.20461746215756,-1553.2731510009785,-117.30645737457264,-117.59016822052021,803000
7.3639021321833875e+34,1000.0,0.0,107.52520579414933,0.5346066810237111,-495.01897698974557,-1595.7518131103502,-119.91425077056897,-119.72445615386954,804000
8.146942874128334e+34,1000.0,0.0,108.59402015482883,0.2584144801764941,-495.0466035461424,-1592.719507690426,-119.56478672790527,-119.72239450073256,805000
8.997762893651567e+34,1000.0,0.0,109.7573275856994,0.2523702439446106,-495.0053604431157,-1584.2255125732452,-119.00099330902118,-119.08907093811028,806000
9.936432175292905e+34,1000.0,0.0,110.43888865487239,0.260899767246692,-494.99327267456084,-1586.4327260742177,-118.64244454193114,-118.86827424621588,807000
1.0969932968268998e+35,1000.0,0.0,106.98509461471266,0.3171167119382215,-495.03333285522405,-1585.081323730465,-118.69281712341304,-118.71999938201891,808000
1.2114847492280611e+35,923.2,230.4,101.38369594401347,27.374021035144914,-495.06830194091754,-1577.148750732418,-118.09821212768563,-118.10106391906747,809000
1.3376869094970305e+35,1000.0,0.0,109.3015047662598,0.434686998912487,-494.9216687622073,-1571.638020874025,-117.48215656280526,-117.6859502868651,810000
1.4783793667910758e+35,1000.0,0.0,107.1921568127563,0.40606278331253204,-494.8837833251957,-1596.9693933105468,-119.13960099792479,-119.3492528762816,811000
1.6341472049476316e+35,1000.0,0.0,108.6183305487197,0.2943553464922562,-495.12152938842775,-1596.878714233397,-119.07851030731182,-118.82003508758567,812000
1.805019224889295e+35,1000.0,0.0,109.16555977653282,0.25455894203753265,-494.9978358154295,-1583.0826422119126,-117.92639908599838,-118.04269890594497,813000
1.9942871248280908e+35,1000.0,0.0,109.05091740575476,0.461593988853361,-494.8109891357416,-1593.3232739257817,-118.5105765533447,-118.51117273712174,814000
2.2027017160910976e+35,1000.0,0.0,108.77311558630119,0.7606459680898461,-494.74386715698273,-1576.1913167724604,-117.5912617721559,-117.4466986083985,815000
2.4319364274047985e+35,1000.0,0.0,110.06006618290998,0.2710560749147749,-494.865134307861,-1567.2315545654285,-116.7434105606078,-116.99723282623286,816000
2.6866080273999358e+35,1000.0,0.0,107.64179345243687,0.2840121159623304,-494.79314178466853,-1576.9963087158226,-117.27962844085692,-117.32729284667963,817000
2.96933768792864e+35,1000.0,0.0,108.7306882006434,0.3063040090387977,-494.7280153808599,-1582.5525329589843,-117.51962065887453,-117.50928411102306,818000
3.280851521829625e+35,916.2,251.39999999999998,98.94300232925845,28.883891384642663,-494.8183938293458,-1574.7413079833984,-116.7656714782716,-117.07104488372812,819000
3.6248639396686356e+35,1000.0,0.0,109.66590081697632,0.4011676504701356,-494.81718908691346,-1570.993184448242,-116.38955029296864,-116.56011021423346,820000
4.0053417976959596e+35,1000.0,0.0,109.70920582397123,0.41290001471411075,-494.7766880493157,-1600.273457153321,-118.18222259521491,-118.05522027587887,821000
4.427580687873548e+35,1000.0,0.0,109.18904695403225,0.2255844858178876,-494.95131329345713,-1600.8165678710925,-118.20315165710443,-118.01812821197531,822000
4.893414493387143e+35,1000.0,0.0,108.54373060078912,0.2656015665469076,-494.95712664794894,-1611.2338656005884,-118.64336347961422,-118.71609566497801,823000
5.414211477089741e+35,1000.0,0.0,109.47160379830856,0.2550131347682464,-494.7886555786133,-1633.4170969238294,-119.56755729675298,-119.78216860198957,824000
5.983141074854821e+35,1000.0,0.0,109.554284466485,0.46282766071533804,-494.90559503173824,-1623.9843110351555,-119.10907958984383,-119.14219911956808,825000
6.61234565107025e+35,1000.0,0.0,109.08290334709996,0.34667057332804907,-494.8273133239748,-1636.163476684571,-119.90933533477788,-119.8445697097778,826000
7.308904030913594e+35,834.4,331.2244556188447,89.48905505537137,38.4042339362309,-494.53715249633746,-1639.156526977542,-118.21705261230451,-118.43322821044919,827000
8.079831801227686e+35,1000.0,0.0,106.73429135618848,0.3386472889448184,-494.7402085876467,-1633.2082249755829,-119.46989973449713,-119.51805059814454,828000
8.929196548948696e+35,1000.0,0.0,107.41381844864803,0.4482325846469484,-494.585461029052,-1634.5277247314498,-119.21340000915518,-119.26148431396487,829000
9.865923927925574e+35,1000.0,0.0,110.08695508203606,0.20092285494211598,-494.4698233032227,-1640.0575462646493,-119.20575922393783,-119.07060476684566,830000
1.0900374557433407e+36,1000.0,0.0,107.22347247962954,0.5637084174882724,-494.6479952087403,-1637.7315616455064,-119.33063562774672,-119.45350265502937,831000
1.2038197288994081e+36,1000.0,0.0,109.96939486639363,0.28855216698083996,-494.6236352233884,-1640.9620577392543,-119.20824803161632,-119.55899538421636,832000
1.3299984199445845e+36,1000.0,0.0,108.07114195068695,0.34908099476835885,-494.5640062561038,-1623.41953430176,-118.27688004302979,-118.26801200103766,833000
1.4688121585583867e+36,1000.0,0.0,109.72745284358459,0.4309695527022425,-494.415825439453,-1642.8543494873045,-119.2736800994874,-119.18268235778805,834000
1.6230831608283015e+36,1000.0,0.0,106.70997620876909,0.44496595022236757,-494.45093057250983,-1663.2819575195317,-120.1938315200807,-120.28399443054192,835000
1.793144766096244e+36,1000.0,0.0,108.6272725107152,0.36319662659709223,-494.7768726806642,-1651.5809411621078,-118.94320428466786,-119.33202181243905,836000
1.9812597458954028e+36,1000.0,0.0,107.16559809380786,0.34450338769003375,-494.4560170593268,-1669.1922583007815,-120.24205007934569,-120.44900386810323,837000
2.1897785857331e+36,1000.0,0.0,106.76727240701966,0.356118169522069,-494.63443099975524,-1644.9008281250012,-118.81620690155044,-118.79535147094748,838000
2.4183424623704947e+36,1000.0,0.0,109.54226082317857,0.30271668980526306,-494.37938973998996,-1642.2372493896503,-118.35566638946531,-118.34028020477304,839000
2.67242330608887e+36,1000.0,0.0,108.60658408868017,0.2534213907821415,-494.6459518432615,-1657.1283336181618,-119.54490760803232,-119.64432621765133,840000
2.9514294270264295e+36,1000.0,0.0,108.23127518101873,0.3392734752108279,-494.51708489990165,-1626.4541860351533,-117.45877125549308,-117.65710356903077,841000
3.26056263401642e+36,1000.0,0.0,108.48254565523206,0.5573250577914303,-494.40299938964904,-1645.0456405029272,-118.14788832855226,-118.18391390991215,842000
3.6039711553502374e+36,1000.0,0.0,108.76141141644607,0.3163991347841492,-494.41919174194317,-1648.420462890625,-118.59960162734987,-118.6722637405394,843000
3.9841478966047254e+36,841.7,316.6575595181647,91.82939393511565,37.36123821557333,-494.46050518798756,-1645.811749023438,-117.36400743103042,-117.21286688995367,844000
